"","Storm","Fatalities","Injuries","Property.Damage","Crop.Damage"
"1","Tornadoes",5636,91407,56993098741,414961360
"2","Thunderstorm Wind",754,9503,11367850267.5,1255958900
"3","Hail",15,1371,15974563870,3046887600
"4","Freezing Rain",7,23,8647500,0
"5","Snow-Related",164,1122,1022699748.5,134663100
"6","Ice Storm",89,1992,3946027810,5022113500
"7","Wintry Weather/Mix",278,1953,6716307750,42444000
"8","Hurricanes",135,1328,84756180010,5515292800
"9","EXCLUDE",20,50,57000500,0
"10","Precipitation-related",102,306,3226673690,806152800
"11","Lightning",817,5231,933732366,12092090
"12","DENSE FOG",18,342,9674000,0
"13","Rip Currents",577,529,163000,0
"14","Flash Flood",1035,1800,16907428195.6,1532197150
"15","Winds",457,1953,6262211990,762345400
"16","Funnel/Wall Clouds",0,3,194600,0
"17","Heat-related",3113,9159,20125750,904413500
"18","Flooding",518,6881,150663046439.9,10851350050
"19","Cold/Frost Conditions",462,324,99034400,3423826500
"20","Thunderstorms",1,40,1208967550,18255000
"21","Waterspouts",3,29,9564200,0
"22","Blizzard",101,806,664863950,112060000
"23","HIGH TIDES",0,0,0,0
"24","Avalanche",225,170,3721800,0
"25","MARINE MISHAP",7,5,0,0
"26","HIGH SEAS",5,8,15500,0
"27","SEVERE TURBULENCE",0,0,50000,0
"28","Dust Storms",22,440,5599000,3600000
"29","APACHE COUNTY",0,0,5000,0
"30","SLEET",2,0,0,0
"31","Dust Devils",2,43,719130,0
"32","HEAVY SURF",7,40,1390000,0
"33","HIGH SURF",101,152,89575000,0
"34","BLOWING DUST",0,0,20000,0
"35","Fire Conditions (Wild, Forest, Brush)",90,1608,8501628500,403281630
"36","HIGH",0,1,0,0
"37","Mudslides",5,2,1975100,0
"38","Microbursts",3,29,7297600,15000
"39","Ice-Related",13,193,18933700,5000800
"40","DOWNBURST",0,0,2000,0
"41","GUSTNADO AND",0,0,0,0
"42","FREEZING DRIZZLE",2,15,75000,0
"43","GLAZE",7,216,910000,0
"44","Dryness",29,0,0,0
"45","UNSEASONABLY WET",0,0,0,0
"46","UNSEASONABLY WARM",11,17,0,10000
"47","Drought",6,19,1046306000,13972621780
"48","Storm Surge",24,43,47964724000,855000
"49","Tropical Storms",66,383,7714390550,694896000
"50","COOL AND WET",0,0,0,5e+06
"51","SMALL STREAM AND",0,0,0,0
"52","EXCESSIVE WETNESS",0,0,0,1.42e+08
"53","GUSTNADO",0,0,102050,1550
"54","FOG",62,734,13155500,0
"55","COASTAL SURGE",0,0,5e+05,0
"56","HIGH WAVES",1,0,0,0
"57","OTHER",0,4,5500,1034400
"58","HEAVY MIX",0,0,1305000,0
"59","DAM FAILURE",0,0,0,0
"60","SOUTHEAST",0,0,0,0
"61","FREEZING DRIZZLE AND FREEZING",0,0,0,0
"62","HIGH WATER",3,0,505000,0
"63","WET WEATHER",0,0,0,0
"64","Erosion",0,0,866000,0
"65","LOW TEMPERATURE",7,0,0,0
"66","RAPIDLY RISING WATER",1,0,0,0
"67","Landslides",39,53,324701000,20017000
"68","EXCESSIVE",0,0,0,0
"69","HEAVY SEAS",3,0,0,0
"70","?",0,0,5000,0
"71","HOT PATTERN",0,0,0,0
"72","MILD PATTERN",0,0,0,0
"73","SAHARAN DUST",0,0,0,0
"74","HEAVY SWELLS",0,0,15000,0
"75","SMALL STREAM",0,0,0,0
"76","Other",0,0,50000,0
"77","ROUGH SURF",4,1,10000,0
"78","Heavy Surf",1,0,50000,0
"79","Marine Accident",1,2,50000,0
"80","COASTAL STORM",3,1,0,0
"81","Wet Month",0,0,0,0
"82","Wet Year",0,0,0,0
"83","High Surf",3,4,380000,0
"84","Landslump",0,0,570000,0
"85","Coastal Storm",0,1,50000,0
"86","Glaze",0,0,90000,0
"87","Freezing Fog",0,0,0,0
"88","Freezing Spray",1,0,0,0
"89","Metro Storm, May 26",0,0,0,0
"90","No Severe Weather",0,0,0,0
"91","Freezing Drizzle",0,0,55000,0
"92","Saharan Dust",0,0,0,0
"93","Volcanic Ash",0,0,5e+05,0
"94","NONE",0,0,0,0
"95","DAM BREAK",0,0,1002000,0
"96","BLOW-OUT TIDES",0,0,0,0
"97","UNSEASONABLY COOL",0,0,0,0
"98","BLOW-OUT TIDE",0,0,0,0
"99","COASTALSTORM",1,0,0,0
"100","Freezing drizzle",0,0,15000,0
"101","TYPHOON",0,5,600230000,825000
"102","HIGH SWELLS",1,0,5000,0
"103","HIGH  SWELLS",0,0,0,0
"104","HOT SPELL",0,0,0,0
"105","UNSEASONABLY HOT",0,0,0,0
"106","ABNORMAL WARMTH",0,0,0,0
"107","UNUSUAL WARMTH",0,0,0,0
"108","SEICHE",0,0,980000,0
"109","UNSEASONABLY WARM YEAR",0,0,0,0
"110","HYPERTHERMIA/EXPOSURE",1,0,0,0
"111","ROCK SLIDE",0,0,150000,0
"112","PATCHY DENSE FOG",0,0,0,0
"113","HOT WEATHER",0,0,0,0
"114","TROPICAL DEPRESSION",0,0,1737000,0
"115","VOLCANIC ERUPTION",0,0,0,0
"116","COOL SPELL",0,0,0,0
"117","VOG",0,0,0,0
"118","REMNANTS OF FLOYD",0,0,0,0
"119","FREEZING FOG",0,0,2182000,0
"120","LANDSPOUT",0,0,7000,0
"121","DRIEST MONTH",0,0,0,0
"122","ROUGH SEAS",8,5,0,0
"123","UNSEASONABLY WARM/WET",0,0,0,0
"124","UNSEASONABLY COOL & WET",0,0,0,0
"125","UNUSUALLY WARM",0,0,0,0
"126","WARM WEATHER",0,2,0,0
"127","LANDSLUMP",0,0,0,0
"128","UNSEASONABLY WARM & WET",0,0,0,0
"129","UNSEASONAL LOW TEMP",0,0,0,0
"130","HIGH SURF ADVISORY",0,0,0,0
"131","RED FLAG CRITERIA",0,0,0,0
"132","SMOKE",0,0,0,0
"133","EXTREMELY WET",0,0,0,0
"134","ROGUE WAVE",0,2,0,0
"135","PROLONG WARMTH",0,0,0,0
"136","NORTHERN LIGHTS",0,0,0,0
"137","   HIGH SURF ADVISORY",0,0,2e+05,0
"138","HAZARDOUS SURF",0,1,0,0
"139","ASTRONOMICAL HIGH TIDE",0,0,9425000,0
"140","VERY WARM",0,0,0,0
"141","ABNORMALLY WET",0,0,0,0
"142","DROWNING",1,0,0,0
"143","HIGH SURF ADVISORIES",0,0,0,0
"144","HEAVY SURF/HIGH SURF",42,48,9870000,0
"145","SLEET STORM",0,0,0,0
"146","TSUNAMI",33,129,144062000,20000
"147","DENSE SMOKE",0,0,1e+05,0
"148","ASTRONOMICAL LOW TIDE",0,0,320000,0
